company_name,business_type,city,state,zip_code,phone,address,formation_date,status
ABC Consulting LLC,consulting,New York,NY,10001,555-0101,123 Business Ave,2024-01-15,active
Tech Solutions LLC,technology,San Francisco,CA,94102,555-0102,456 Innovation St,2024-01-20,active
Green Gardens LLC,landscaping,Austin,TX,73301,555-0103,789 Garden Way,2024-02-01,active
Blue Moon Restaurant LLC,restaurant,Chicago,IL,60601,555-0104,321 Food Court,2024-02-10,active
Sunrise Real Estate LLC,real_estate,Miami,FL,33101,555-0105,654 Property Blvd,2024-02-15,active
Health First LLC,healthcare,Denver,CO,80201,555-0106,987 Medical Dr,2024-03-01,active
Creative Design LLC,design,Seattle,WA,98101,555-0107,147 Art Street,2024-03-05,active
Quick Fix Auto LLC,automotive,Phoenix,AZ,85001,555-0108,258 Car Lane,2024-03-10,active
Fresh Foods LLC,retail,Portland,OR,97201,555-0109,369 Market St,2024-03-15,active
Smart Home LLC,technology,Boston,MA,02101,555-0110,741 Tech Ave,2024-03-20,active
